Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
V1,3,control15,420,M102
V1,6,Vinos13Desalcoh,266,M162
V1,4,vino13MixDesalcoh,510,M331
V1,1,Vinoverde13,360,M912
V1,2,vino13coop,827,M18
V1,5,vino13MixCampo,489,M324
V2,6,Vinos13Desalcoh,266,M768
V2,1,Vinoverde13,360,M731
V2,3,control15,420,M853
V2,5,vino13MixCampo,489,M937
V2,4,vino13MixDesalcoh,510,M257
V2,2,vino13coop,827,M91
V3,1,Vinoverde13,360,M542
V3,5,vino13MixCampo,489,M219
V3,6,Vinos13Desalcoh,266,M452
V3,2,vino13coop,827,M718
V3,3,control15,420,M784
V3,4,vino13MixDesalcoh,510,M504
V4,5,vino13MixCampo,489,M868
V4,2,vino13coop,827,M416
V4,1,Vinoverde13,360,M708
V4,4,vino13MixDesalcoh,510,M312
V4,6,Vinos13Desalcoh,266,M715
V4,3,control15,420,M421
V5,2,vino13coop,827,M779
V5,4,vino13MixDesalcoh,510,M456
V5,5,vino13MixCampo,489,M132
V5,3,control15,420,M681
V5,1,Vinoverde13,360,M999
V5,6,Vinos13Desalcoh,266,M551
V6,4,vino13MixDesalcoh,510,M597
V6,3,control15,420,M693
V6,2,vino13coop,827,M120
V6,6,Vinos13Desalcoh,266,M337
V6,5,vino13MixCampo,489,M744
V6,1,Vinoverde13,360,M534
V7,3,control15,420,M361
V7,2,vino13coop,827,M435
V7,5,vino13MixCampo,489,M8
V7,6,Vinos13Desalcoh,266,M905
V7,1,Vinoverde13,360,M175
V7,4,vino13MixDesalcoh,510,M321
V8,2,vino13coop,827,M243
V8,6,Vinos13Desalcoh,266,M652
V8,3,control15,420,M911
V8,4,vino13MixDesalcoh,510,M981
V8,5,vino13MixCampo,489,M501
V8,1,Vinoverde13,360,M377
V9,6,Vinos13Desalcoh,266,M991
V9,4,vino13MixDesalcoh,510,M87
V9,2,vino13coop,827,M589
V9,1,Vinoverde13,360,M340
V9,3,control15,420,M3
V9,5,vino13MixCampo,489,M595
V10,4,vino13MixDesalcoh,510,M185
V10,1,Vinoverde13,360,M657
V10,6,Vinos13Desalcoh,266,M924
V10,5,vino13MixCampo,489,M227
V10,2,vino13coop,827,M586
V10,3,control15,420,M919
V11,1,Vinoverde13,360,M724
